"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 01 14:40:19 PST 2021","Wed Dec 01 14:40:19 PST 2021","12","","Volvo - a million more page test","","Volvo - a million more page test","should have the correct title","should have the correct title",""
"passed","Wed Dec 01 14:40:19 PST 2021","Wed Dec 01 14:40:19 PST 2021","45","","Cookie settings test","","Cookie settings test","should see 7 list items","should see 7 list items",""
"passed","Wed Dec 01 14:40:14 PST 2021","Wed Dec 01 14:40:19 PST 2021","4339","","Volvo - a million more accept cookie test","","Volvo - a million more accept cookie test","should click 'Accept' when cookie modal shows up","should click 'Accept' when cookie modal shows up",""
"passed","Wed Dec 01 14:40:19 PST 2021","Wed Dec 01 14:40:19 PST 2021","147","","Cookie settings test","","Cookie settings test","should switch to 'Targeting and Advertising Cookies' item when clicked","should switch to 'Targeting and Advertising Cookies' item when clicked",""
"passed","Wed Dec 01 14:40:25 PST 2021","Wed Dec 01 14:40:29 PST 2021","3917","","Volvo - a million more interactions test","","Volvo - a million more interactions test","should click the learn more button for 'Decades of innovation' section","should click the learn more button for 'Decades of innovation' section",""
"passed","Wed Dec 01 14:40:19 PST 2021","Wed Dec 01 14:40:20 PST 2021","1199","","Volvo - a million more interactions test","","Volvo - a million more interactions test","should have 'WATCH THE STORY' button and play video after clicking","should have 'WATCH THE STORY' button and play video after clicking",""
"passed","Wed Dec 01 14:40:19 PST 2021","Wed Dec 01 14:40:19 PST 2021","42","","Volvo - a million more page test","","Volvo - a million more page test","should have 4 items in safety features section","should have 4 items in safety features section",""
"passed","Wed Dec 01 14:40:19 PST 2021","Wed Dec 01 14:40:20 PST 2021","592","","Cookie settings test","","Cookie settings test","should click 'Save settings' button in cookies modal and close the modal","should click 'Save settings' button in cookies modal and close the modal",""
"passed","Wed Dec 01 14:40:19 PST 2021","Wed Dec 01 14:40:19 PST 2021","148","","Cookie settings test","","Cookie settings test","should set 'Targeting and Advertising Cookies' to Active","should set 'Targeting and Advertising Cookies' to Active",""
"passed","Wed Dec 01 14:40:19 PST 2021","Wed Dec 01 14:40:19 PST 2021","37","","Volvo - a million more page test","","Volvo - a million more page test","should have the correct h2 header in body","should have the correct h2 header in body",""
"passed","Wed Dec 01 14:40:29 PST 2021","Wed Dec 01 14:40:34 PST 2021","5231","","Volvo - a million more interactions test","","Volvo - a million more interactions test","should verify mild car hybrids link, carousel section, and click first model in carousel","should verify mild car hybrids link, carousel section, and click first model in carousel",""
"passed","Wed Dec 01 14:40:14 PST 2021","Wed Dec 01 14:40:19 PST 2021","4373","","Volvo - cookie modal popup test","","Volvo - cookie modal popup test","should detect cookie modal and click cookie settings","should detect cookie modal and click cookie settings",""
"passed","Wed Dec 01 14:40:19 PST 2021","Wed Dec 01 14:40:19 PST 2021","125","","Cookie settings test","","Cookie settings test","should have 'If you delete all your cookies you will have to update your preferences with us again' text in body section","should have 'If you delete all your cookies you will have to update your preferences with us again' text in body section",""
"passed","Wed Dec 01 14:40:19 PST 2021","Wed Dec 01 14:40:19 PST 2021","130","","Volvo - a million more page test","","Volvo - a million more page test","should have 4 items in video testimonials section","should have 4 items in video testimonials section",""
"passed","Wed Dec 01 14:40:19 PST 2021","Wed Dec 01 14:40:19 PST 2021","95","","Volvo - a million more page test","","Volvo - a million more page test","should have footer section and have 4 clickable items","should have footer section and have 4 clickable items",""
"passed","Wed Dec 01 14:40:19 PST 2021","Wed Dec 01 14:40:19 PST 2021","234","","Cookie settings test","","Cookie settings test","should switch to 'Strictly Necessary Cookies' item when clicked","should switch to 'Strictly Necessary Cookies' item when clicked",""
"passed","Wed Dec 01 14:40:34 PST 2021","Wed Dec 01 14:40:37 PST 2021","2723","","Volvo - a million more interactions test","","Volvo - a million more interactions test","should click detect and click the 'Social Media' link in the footer section","should click detect and click the 'Social Media' link in the footer section",""
"passed","Wed Dec 01 14:40:20 PST 2021","Wed Dec 01 14:40:25 PST 2021","4408","","Volvo - a million more interactions test","","Volvo - a million more interactions test","should have 'LEARN MORE ABOUT CAR SAFETY' button and go to car safety page and back","should have 'LEARN MORE ABOUT CAR SAFETY' button and go to car safety page and back",""
"passed","Wed Dec 01 14:40:19 PST 2021","Wed Dec 01 14:40:19 PST 2021","80","","Volvo - a million more page test","","Volvo - a million more page test","should have 8 items in model carousel section","should have 8 items in model carousel section",""
"passed","Wed Dec 01 14:40:19 PST 2021","Wed Dec 01 14:40:19 PST 2021","96","","Cookie settings test","","Cookie settings test","should have 'Your Privacy' item as default selected","should have 'Your Privacy' item as default selected",""
